Id,Label,sector,texto,puntuacion_usuario
User_31,Usuario_31,Tecno-Optimista,"La IA democratiza el acceso a la tecnología avanzada, creando un ecosistema de innovación inclusivo y lleno de oportunidades.",5
User_32,Usuario_32,Tecno-Optimista,La inteligencia artificial es la herramienta del futuro para hacer más eficiente el desarrollo social y el progreso.,5
User_33,Usuario_33,Tecno-Optimista,"La IA democratiza el acceso a la tecnología avanzada, creando un ecosistema de innovación inclusivo y lleno de oportunidades.",5
User_34,Usuario_34,Tecno-Optimista,La automatización mediante IA aumenta la productividad laboral y genera nuevas oportunidades de empleo de alta calidad.,5
User_35,Usuario_35,Tecno-Optimista,"La IA en las escuelas fomenta la creatividad y personaliza la educación, garantizando una innovación histórica.",4
User_36,Usuario_36,Tecno-Optimista,La automatización mediante IA aumenta la productividad laboral y genera nuevas oportunidades de empleo de alta calidad.,5
User_37,Usuario_37,Tecno-Optimista,La automatización mediante IA aumenta la productividad laboral y genera nuevas oportunidades de empleo de alta calidad.,4
User_38,Usuario_38,Tecno-Optimista,El desarrollo tecnológico de la IA representa un progreso indudable y la solución a grandes desafíos científicos del futuro.,4
User_39,Usuario_39,Tecno-Optimista,La inteligencia artificial es la herramienta del futuro para hacer más eficiente el desarrollo social y el progreso.,4
User_40,Usuario_40,Tecno-Optimista,"La IA en las escuelas fomenta la creatividad y personaliza la educación, garantizando una innovación histórica.",5
User_41,Usuario_41,Tecno-Optimista,"La IA democratiza el acceso a la tecnología avanzada, creando un ecosistema de innovación inclusivo y lleno de oportunidades.",4
User_42,Usuario_42,Tecno-Optimista,El desarrollo tecnológico de la IA representa un progreso indudable y la solución a grandes desafíos científicos del futuro.,4
User_43,Usuario_43,Tecno-Optimista,El desarrollo tecnológico de la IA representa un progreso indudable y la solución a grandes desafíos científicos del futuro.,5
User_44,Usuario_44,Tecno-Optimista,La inteligencia artificial es la herramienta del futuro para hacer más eficiente el desarrollo social y el progreso.,4
User_45,Usuario_45,Tecno-Optimista,"La IA en las escuelas fomenta la creatividad y personaliza la educación, garantizando una innovación histórica.",4
User_46,Usuario_46,Tecno-Optimista,La inteligencia artificial es la herramienta del futuro para hacer más eficiente el desarrollo social y el progreso.,5
User_47,Usuario_47,Tecno-Optimista,La inteligencia artificial es la herramienta del futuro para hacer más eficiente el desarrollo social y el progreso.,5
User_48,Usuario_48,Tecno-Optimista,La inteligencia artificial es una oportunidad de innovación y eficiencia para el crecimiento de las empresas.,3
User_49,Usuario_49,Tecno-Optimista,"La IA en las escuelas fomenta la creatividad y personaliza la educación, garantizando una innovación histórica.",3
User_50,Usuario_50,Tecno-Optimista,La inteligencia artificial es la herramienta del futuro para hacer más eficiente el desarrollo social y el progreso.,4
User_51,Usuario_51,Tecno-Optimista,La inteligencia artificial es una oportunidad de innovación y eficiencia para el crecimiento de las empresas.,5
User_52,Usuario_52,Tecno-Optimista,La inteligencia artificial es la herramienta del futuro para hacer más eficiente el desarrollo social y el progreso.,4
User_53,Usuario_53,Tecno-Optimista,El desarrollo tecnológico de la IA representa un progreso indudable y la solución a grandes desafíos científicos del futuro.,4
User_54,Usuario_54,Tecno-Optimista,La inteligencia artificial es una oportunidad de innovación y eficiencia para el crecimiento de las empresas.,4
User_55,Usuario_55,Tecno-Optimista,"La IA democratiza el acceso a la tecnología avanzada, creando un ecosistema de innovación inclusivo y lleno de oportunidades.",4
User_56,Usuario_56,Tecno-Optimista,"Los sistemas de IA optimizan la toma de decisiones empresariales, garantizando un aumento de eficiencia sin precedentes.",4
User_57,Usuario_57,Tecno-Optimista,La automatización mediante IA aumenta la productividad laboral y genera nuevas oportunidades de empleo de alta calidad.,3
User_58,Usuario_58,Tecno-Optimista,"La IA democratiza el acceso a la tecnología avanzada, creando un ecosistema de innovación inclusivo y lleno de oportunidades.",5
User_59,Usuario_59,Tecno-Optimista,El desarrollo tecnológico de la IA representa un progreso indudable y la solución a grandes desafíos científicos del futuro.,5
User_60,Usuario_60,Tecno-Optimista,"Gracias a la IA, experimentamos una era de crecimiento científico y esperanza en resolver el cambio climático.",5
User_61,Usuario_61,Tecno-Crítico,La sustitución de docentes por sistemas automáticos deshumaniza las aulas y representa un riesgo inaceptable para la educación.,1
User_62,Usuario_62,Tecno-Crítico,"La IA concentra el poder y la riqueza en pocas corporaciones tecnológicas, profundizando la brecha social y el desempleo.",1
User_63,Usuario_63,Tecno-Crítico,El descontrol de la IA corporativa aumenta la desigualdad social y el riesgo de una gran crisis ética y humana.,2
User_64,Usuario_64,Tecno-Crítico,"La IA concentra el poder y la riqueza en pocas corporaciones tecnológicas, profundizando la brecha social y el desempleo.",1
User_65,Usuario_65,Tecno-Crítico,La sustitución de docentes por sistemas automáticos deshumaniza las aulas y representa un riesgo inaceptable para la educación.,1
User_66,Usuario_66,Tecno-Crítico,La inteligencia artificial entrenada con datos robados destruye la propiedad intelectual and representa un fracaso ético.,2
User_67,Usuario_67,Tecno-Crítico,"La IA concentra el poder y la riqueza en pocas corporaciones tecnológicas, profundizando la brecha social y el desempleo.",1
User_68,Usuario_68,Tecno-Crítico,El descontrol de la IA corporativa aumenta la desigualdad social y el riesgo de una gran crisis ética y humana.,1
User_69,Usuario_69,Tecno-Crítico,Falta regulación estricta: el intervencionismo corporativo y el descontrol algorítmico amenazan la privacidad y la libertad.,1
User_70,Usuario_70,Tecno-Crítico,El reemplazo acelerado de trabajadores por algoritmos genera una crisis social de exclusión y descontrol laboral severo.,2
User_71,Usuario_71,Tecno-Crítico,La inteligencia artificial entrenada con datos robados destruye la propiedad intelectual and representa un fracaso ético.,2
User_72,Usuario_72,Tecno-Crítico,La inteligencia artificial entrenada con datos robados destruye la propiedad intelectual and representa un fracaso ético.,1
User_73,Usuario_73,Tecno-Crítico,Falta regulación estricta: el intervencionismo corporativo y el descontrol algorítmico amenazan la privacidad y la libertad.,2
User_74,Usuario_74,Tecno-Crítico,"La inteligencia artificial es una amenaza para el empleo de millones de trabajadores, provocando desempleo masivo.",1
User_75,Usuario_75,Tecno-Crítico,"La IA concentra el poder y la riqueza en pocas corporaciones tecnológicas, profundizando la brecha social y el desempleo.",2
User_76,Usuario_76,Tecno-Crítico,La sustitución de docentes por sistemas automáticos deshumaniza las aulas y representa un riesgo inaceptable para la educación.,1
User_77,Usuario_77,Tecno-Crítico,La sustitución de docentes por sistemas automáticos deshumaniza las aulas y representa un riesgo inaceptable para la educación.,2
User_78,Usuario_78,Tecno-Crítico,Falta regulación estricta: el intervencionismo corporativo y el descontrol algorítmico amenazan la privacidad y la libertad.,1
User_79,Usuario_79,Tecno-Crítico,La sustitución de docentes por sistemas automáticos deshumaniza las aulas y representa un riesgo inaceptable para la educación.,2
User_80,Usuario_80,Tecno-Crítico,Falta regulación estricta: el intervencionismo corporativo y el descontrol algorítmico amenazan la privacidad y la libertad.,1
User_81,Usuario_81,Tecno-Crítico,Falta regulación estricta: el intervencionismo corporativo y el descontrol algorítmico amenazan la privacidad y la libertad.,1
User_82,Usuario_82,Tecno-Crítico,"El uso desregulado de la IA fomenta el plagio sistemático, destruyendo los derechos de autor de artistas y escritores.",1
User_83,Usuario_83,Tecno-Crítico,"El uso desregulado de la IA fomenta el plagio sistemático, destruyendo los derechos de autor de artistas y escritores.",1
User_84,Usuario_84,Tecno-Crítico,El reemplazo acelerado de trabajadores por algoritmos genera una crisis social de exclusión y descontrol laboral severo.,1
User_85,Usuario_85,Tecno-Crítico,Falta regulación estricta: el intervencionismo corporativo y el descontrol algorítmico amenazan la privacidad y la libertad.,4
User_86,Usuario_86,Tecno-Crítico,El reemplazo acelerado de trabajadores por algoritmos genera una crisis social de exclusión y descontrol laboral severo.,4
User_87,Usuario_87,Tecno-Crítico,El reemplazo acelerado de trabajadores por algoritmos genera una crisis social de exclusión y descontrol laboral severo.,1
User_88,Usuario_88,Tecno-Crítico,El reemplazo acelerado de trabajadores por algoritmos genera una crisis social de exclusión y descontrol laboral severo.,1
User_89,Usuario_89,Tecno-Crítico,"La inteligencia artificial es una amenaza para el empleo de millones de trabajadores, provocando desempleo masivo.",1
User_90,Usuario_90,Tecno-Crítico,"La IA concentra el poder y la riqueza en pocas corporaciones tecnológicas, profundizando la brecha social y el desempleo.",1
User_91,Usuario_91,Tecno-Crítico,Falta regulación estricta: el intervencionismo corporativo y el descontrol algorítmico amenazan la privacidad y la libertad.,2
User_92,Usuario_92,Tecno-Crítico,La sustitución de docentes por sistemas automáticos deshumaniza las aulas y representa un riesgo inaceptable para la educación.,1
User_93,Usuario_93,Tecno-Crítico,"El uso desregulado de la IA fomenta el plagio sistemático, destruyendo los derechos de autor de artistas y escritores.",1
User_94,Usuario_94,Tecno-Crítico,"La IA concentra el poder y la riqueza en pocas corporaciones tecnológicas, profundizando la brecha social y el desempleo.",2
User_95,Usuario_95,Tecno-Crítico,"El uso desregulado de la IA fomenta el plagio sistemático, destruyendo los derechos de autor de artistas y escritores.",1
User_96,Usuario_96,Tecno-Crítico,La inteligencia artificial entrenada con datos robados destruye la propiedad intelectual and representa un fracaso ético.,1
User_97,Usuario_97,Tecno-Crítico,"La IA concentra el poder y la riqueza en pocas corporaciones tecnológicas, profundizando la brecha social y el desempleo.",1
User_98,Usuario_98,Tecno-Crítico,El reemplazo acelerado de trabajadores por algoritmos genera una crisis social de exclusión y descontrol laboral severo.,2
User_99,Usuario_99,Tecno-Crítico,"El uso desregulado de la IA fomenta el plagio sistemático, destruyendo los derechos de autor de artistas y escritores.",2
User_100,Usuario_100,Tecno-Crítico,"El uso desregulado de la IA fomenta el plagio sistemático, destruyendo los derechos de autor de artistas y escritores.",2
User_101,Usuario_101,Tecno-Crítico,La inteligencia artificial entrenada con datos robados destruye la propiedad intelectual and representa un fracaso ético.,1
User_102,Usuario_102,Tecno-Crítico,"La IA concentra el poder y la riqueza en pocas corporaciones tecnológicas, profundizando la brecha social y el desempleo.",2
User_103,Usuario_103,Tecno-Crítico,El descontrol de la IA corporativa aumenta la desigualdad social y el riesgo de una gran crisis ética y humana.,1
User_104,Usuario_104,Tecno-Crítico,El reemplazo acelerado de trabajadores por algoritmos genera una crisis social de exclusión y descontrol laboral severo.,1
User_105,Usuario_105,Tecno-Crítico,"El uso desregulado de la IA fomenta el plagio sistemático, destruyendo los derechos de autor de artistas y escritores.",1
User_106,Usuario_106,Tecno-Crítico,La inteligencia artificial entrenada con datos robados destruye la propiedad intelectual and representa un fracaso ético.,4
User_107,Usuario_107,Tecno-Crítico,"El uso desregulado de la IA fomenta el plagio sistemático, destruyendo los derechos de autor de artistas y escritores.",1
User_108,Usuario_108,Tecno-Crítico,La sustitución de docentes por sistemas automáticos deshumaniza las aulas y representa un riesgo inaceptable para la educación.,1
User_109,Usuario_109,Tecno-Crítico,El descontrol de la IA corporativa aumenta la desigualdad social y el riesgo de una gran crisis ética y humana.,1
User_110,Usuario_110,Tecno-Crítico,Falta regulación estricta: el intervencionismo corporativo y el descontrol algorítmico amenazan la privacidad y la libertad.,1
User_111,Usuario_111,Tecno-Crítico,Falta regulación estricta: el intervencionismo corporativo y el descontrol algorítmico amenazan la privacidad y la libertad.,2
User_112,Usuario_112,Tecno-Crítico,El descontrol de la IA corporativa aumenta la desigualdad social y el riesgo de una gran crisis ética y humana.,1
User_113,Usuario_113,Tecno-Crítico,La sustitución de docentes por sistemas automáticos deshumaniza las aulas y representa un riesgo inaceptable para la educación.,1
User_114,Usuario_114,Tecno-Crítico,El reemplazo acelerado de trabajadores por algoritmos genera una crisis social de exclusión y descontrol laboral severo.,1
User_115,Usuario_115,Tecno-Crítico,"El uso desregulado de la IA fomenta el plagio sistemático, destruyendo los derechos de autor de artistas y escritores.",2
User_116,Usuario_116,Tecno-Crítico,El reemplazo acelerado de trabajadores por algoritmos genera una crisis social de exclusión y descontrol laboral severo.,2
User_117,Usuario_117,Tecno-Crítico,La sustitución de docentes por sistemas automáticos deshumaniza las aulas y representa un riesgo inaceptable para la educación.,1
User_118,Usuario_118,Tecno-Crítico,"La IA concentra el poder y la riqueza en pocas corporaciones tecnológicas, profundizando la brecha social y el desempleo.",3
User_119,Usuario_119,Tecno-Crítico,Falta regulación estricta: el intervencionismo corporativo y el descontrol algorítmico amenazan la privacidad y la libertad.,2
User_120,Usuario_120,Tecno-Crítico,El reemplazo acelerado de trabajadores por algoritmos genera una crisis social de exclusión y descontrol laboral severo.,2
